105.6,501.10,39.85,0,491.78,39.98,2,22.10,1,2,3,4,5,6,-1,0,0
105.62,530.09,73.69,105.57,510.63,0,0,36.74,1,2,3,4,5,6,-1,0,1
105.49,478.5,40.25,105.47,0,40.42,26,7.17,1,2,3,4,5,6,-1,0,2
50.76,448.66,58.69,0,450.2,58.65,26,8.16,1,2,3,4,5,6,-1,0,3
160.07,448.39,58.69,0,450,58.66,26,8.16,1,2,3,4,5,6,-1,0,4
9.98,441.67,58.55,-33.86,0,58.44,3,29.73,1,2,3,4,5,6,-1,0,5
200.82,441.21,59.1,177.67,440.34,0,4,29.73,1,2,3,4,5,6,-1,0,6
-44.15,442.71,58.91,34.33,0,59.16,5,19.23,1,2,3,4,5,6,-1,0,7
254.96,441.97,58.72,245.55,0,59.17,6,19.23,1,2,3,4,5,6,-1,0,8
-93.96,436.41,59.58,0,443.57,59.06,7,37.88,1,2,3,4,5,6,-1,0,9
304.73,435.4,58.3,0,442.74,58.53,8,37.88,1,2,3,4,5,6,-1,0,10
-153.06,435.33,59.94,-120.23,436.24,0,9,16.36,1,2,3,4,5,6,-1,0,11
363.83,434.02,57.98,330.65,434.28,0,10,16.36,1,2,3,4,5,6,-1,0,12
104.91,304.85,59.74,104.35,0,240.74,15,380.29,1,2,3,4,5,6,-1,0,13
140.82,225.71,73.49,140.92,0,73.27,15,13.51,1,2,3,4,5,6,-1,0,14
104.52,260.01,58.38,67.72,0,73.25,19,288.23,1,2,3,4,5,6,-1,0,15
140.65,133.25,71.34,141.05,203.48,0,18,102.52,1,2,3,4,5,6,-1,0,16
67.36,195.85,49.34,67.85,204.12,0,21,164.29,1,2,3,4,5,6,-1,0,17
140.87,195.21,49.36,0,204.53,70.7,14,164.29,1,2,3,4,5,6,-1,0,18
67.62,226.35,73.47,0,205.56,70.39,17,13.51,1,2,3,4,5,6,-1,0,19
140.3,82.5,78.95,0,113.74,71.7,16,34.89,1,2,3,4,5,6,-1,0,20
66.23,133.9,71.7,0,114.78,71.86,23,102.52,1,2,3,4,5,6,-1,0,21
139.91,43.5,50,0,34.64,71.70,20,164.29,1,2,3,4,5,6,-1,0,22
65.6,83.16,79.39,0,35.69,71.86,25,34.89,1,2,3,4,5,6,-1,0,23
152.82,3.56,75.61,139.93,33.6,0,22,104.98,1,2,3,4,5,6,-1,0,24
65.7,44.58,50.63,66.03,35.48,0,-1,164.29,1,2,3,4,5,6,-1,0,25
105.33,405,47.91,105.12,328.05,0,13,461.97,1,2,3,4,5,6,-1,0,26
